institution_name,longitude,latitude,fips_state_code,total_enrollment,full-time_enrollment,part-time_enrollment,control,level
Amarillo College,-101.846988,35.18783900000001,Texas,9854.0,3236.0,6618.0,Public,2-year
Amberton University,-96.65302,32.859931,Texas,1182.0,113.0,1069.0,Private not-for-profit,4-year or above
Ambria College of Nursing,-88.2109,42.075628,Illinois,234.0,8.0,226.0,Private for-profit,4-year or above
America Evangelical University,-118.308661,34.041239000000004,California,85.0,49.0,36.0,Private not-for-profit,4-year or above
American Academy McAllister Institute of Funeral Service,-73.993782,40.769031,New York,440.0,61.0,379.0,Private not-for-profit,2-year
American Academy of Art,-87.624788,41.87742,Illinois,242.0,181.0,61.0,Private not-for-profit,4-year or above
American Academy of Dramatic Arts-Los Angeles,-118.343701,34.095378000000004,California,263.0,263.0,0.0,Private not-for-profit,2-year
American Academy of Dramatic Arts-New York,-73.98484300000001,40.745545,New York,270.0,270.0,0.0,Private not-for-profit,2-year
American Baptist College,-86.789912,36.202623,Tennessee,123.0,98.0,25.0,Private not-for-profit,4-year or above
American Business and Technology University,-94.819797,39.779095,Missouri,404.0,404.0,0.0,Private for-profit,4-year or above
American Career College-Anaheim,-117.975599,33.849912,California,1027.0,1027.0,0.0,Private for-profit,2-year
American Career College-Los Angeles,-118.292481,34.079322999999995,California,1284.0,1284.0,0.0,Private for-profit,2-year
American Career College-Ontario,-117.583814,34.068203999999994,California,1280.0,1280.0,0.0,Private for-profit,2-year
American College for Medical Careers,-81.402271,28.470997,Florida,226.0,179.0,47.0,Private for-profit,4-year or above
American College of Healthcare Sciences,-122.675858,45.486902,Oregon,729.0,87.0,642.0,Private for-profit,4-year or above
American Institute of Alternative Medicine,-82.988733,40.102442,Ohio,425.0,260.0,165.0,Private for-profit,4-year or above
American InterContinental University,-88.032424,42.033191,Illinois,8777.0,6918.0,1859.0,Private for-profit,4-year or above
American InterContinental University-Atlanta,-84.354907,33.938779,Georgia,1806.0,1314.0,492.0,Private for-profit,4-year or above
American InterContinental University-Houston,-95.548302,29.728216,Texas,349.0,231.0,118.0,Private for-profit,4-year or above
American International College,-72.558338,42.112346,Massachusetts,3152.0,2852.0,300.0,Private not-for-profit,4-year or above
American Jewish University,-118.471706,34.128153000000005,California,168.0,131.0,37.0,Private not-for-profit,4-year or above
American Medical Academy,-80.393361,25.66273,Florida,461.0,415.0,46.0,Private for-profit,2-year
American Medical Sciences Center,-118.256991,34.147117,California,30.0,30.0,0.0,Private for-profit,2-year
American Musical and Dramatic Academy,-73.987549,40.772275,New York,1676.0,1676.0,0.0,Private not-for-profit,4-year or above
American National University,-80.023602,37.299743,Virginia,1072.0,501.0,571.0,Private for-profit,4-year or above
American National University-Dayton,-84.12734,39.70112,Ohio,,,,Private for-profit,2-year
American National University-Lexington,-84.421099,38.026996,Kentucky,299.0,151.0,148.0,Private for-profit,4-year or above
American Public University System,-77.86012099999998,39.287826,West Virginia,46088.0,2730.0,43358.0,Private for-profit,4-year or above
American River College,-121.349672,38.65085,California,31366.0,6173.0,25193.0,Public,2-year
American Sentinel University,-104.831161,39.67661,Colorado,2674.0,930.0,1744.0,Private for-profit,4-year or above
American Trade School,-90.380141,38.72876,Missouri,120.0,120.0,0.0,Private for-profit,2-year
American University,-77.088875,38.936005,District of Columbia,14311.0,11435.0,2876.0,Private not-for-profit,4-year or above
American University of Health Sciences,-118.171366,33.796849,California,293.0,293.0,0.0,Private for-profit,4-year or above
AmeriTech College-Draper,-111.892792,40.527932,Utah,723.0,421.0,302.0,Private for-profit,4-year or above
Amherst College,-72.518493,42.372459,Massachusetts,1855.0,1855.0,0.0,Private not-for-profit,4-year or above
Amridge University,-86.17401,32.362609,Alabama,755.0,295.0,460.0,Private not-for-profit,4-year or above
Ancilla College,-86.445263,41.337958,Indiana,415.0,305.0,110.0,Private not-for-profit,2-year
Anderson University,-85.664315,40.112768,Indiana,1722.0,1367.0,355.0,Private not-for-profit,4-year or above
Anderson University,-82.64035799999998,34.5152,South Carolina,3429.0,2775.0,654.0,Private not-for-profit,4-year or above
Andrew College,-84.79502099999998,31.772321,Georgia,293.0,205.0,88.0,Private not-for-profit,4-year or above
Andrews University,-86.355815,41.963859,Michigan,3407.0,2307.0,1100.0,Private not-for-profit,4-year or above
Angeles College,-118.29903,34.061223,California,263.0,238.0,25.0,Private for-profit,4-year or above
Angelina College,-94.731625,31.287444,Texas,4919.0,1574.0,3345.0,Public,2-year
Angelo State University,-100.465051,31.440914000000006,Texas,10387.0,6264.0,4123.0,Public,4-year or above
Anna Maria College,-71.91896,42.330542,Massachusetts,1461.0,1012.0,449.0,Private not-for-profit,4-year or above
Anne Arundel Community College,-76.51222299999998,39.049813,Maryland,12886.0,3661.0,9225.0,Public,2-year
Anoka Technical College,-93.416087,45.216709,Minnesota,1844.0,828.0,1016.0,Public,2-year
Anoka-Ramsey Community College,-93.351697,45.172978,Minnesota,8845.0,3329.0,5516.0,Public,2-year
Antelope Valley College,-118.186166,34.676207,California,14239.0,3989.0,10250.0,Public,4-year or above
Antioch College,-83.888077,39.799806,Ohio,102.0,102.0,0.0,Private not-for-profit,4-year or above
Antioch University-Los Angeles,-118.384458,33.988533000000004,California,802.0,589.0,213.0,Private not-for-profit,4-year or above
Antioch University-Midwest,-83.908684,39.80321,Ohio,118.0,74.0,44.0,Private not-for-profit,4-year or above
Antioch University-Santa Barbara,-119.6958,34.419203,California,344.0,252.0,92.0,Private not-for-profit,4-year or above
Antioch University-Seattle,-122.346318,47.615916,Washington,605.0,402.0,203.0,Private not-for-profit,4-year or above
Antonelli College-Cincinnati,-84.510735,39.104312,Ohio,56.0,56.0,0.0,Private for-profit,2-year
Antonelli College-Hattiesburg,-89.33569200000002,31.349549,Mississippi,155.0,145.0,10.0,Private for-profit,2-year
Antonelli College-Jackson,-90.12297,32.328918,Mississippi,193.0,142.0,51.0,Private for-profit,2-year
Apex School of Theology,-78.841386,35.922645,North Carolina,554.0,506.0,48.0,Private not-for-profit,4-year or above
Appalachian Bible College,-81.198867,37.853335,West Virginia,263.0,162.0,101.0,Private not-for-profit,4-year or above
Appalachian State University,-81.680583,36.215536,North Carolina,19108.0,17291.0,1817.0,Public,4-year or above
Aquinas College,-85.628785,42.96019,Michigan,1758.0,1333.0,425.0,Private not-for-profit,4-year or above
Arapahoe Community College,-105.018631,39.607505,Colorado,11544.0,1887.0,9657.0,Public,4-year or above
Arcadia University,-75.163876,40.092606,Pennsylvania,3662.0,2456.0,1206.0,Private not-for-profit,4-year or above
Arizona Christian University,-112.026211,33.595117,Arizona,776.0,642.0,134.0,Private not-for-profit,4-year or above
Arizona College-Glendale,-112.154233,33.56636,Arizona,428.0,428.0,0.0,Private for-profit,2-year
Arizona College-Las Vegas,-115.171331,36.1456,Nevada,500.0,264.0,236.0,Private for-profit,4-year or above
Arizona College-Mesa,-111.873428,33.418374,Arizona,771.0,513.0,258.0,Private for-profit,4-year or above
Arizona State University-Downtown Phoenix,-112.07347,33.452914,Arizona,11584.0,10062.0,1522.0,Public,4-year or above
Arizona State University-Polytechnic,-111.677225,33.307142,Arizona,5095.0,4372.0,723.0,Public,4-year or above
Arizona State University-Skysong,-111.92386100000002,33.463786,Arizona,38540.0,14115.0,24425.0,Public,4-year or above
Arizona State University-Tempe,-111.934383,33.417721,Arizona,51585.0,46180.0,5405.0,Public,4-year or above
Arizona State University-West,-112.160021,33.60726,Arizona,4445.0,3753.0,692.0,Public,4-year or above
Arizona Western College,-114.495968,32.689306,Arizona,7434.0,2166.0,5268.0,Public,2-year
Arkansas Baptist College,-92.290555,34.734751,Arkansas,525.0,460.0,65.0,Private not-for-profit,4-year or above
Arkansas Northeastern College,-89.92100500000002,35.89859699999999,Arkansas,1422.0,555.0,867.0,Public,2-year
Arkansas State University Mid-South,-90.22285,35.145736,Arkansas,1423.0,356.0,1067.0,Public,2-year
Arkansas State University-Beebe,-91.895351,35.074176,Arkansas,3446.0,1779.0,1667.0,Public,2-year
Arkansas State University-Main Campus,-90.679988,35.842388,Arkansas,13709.0,7456.0,6253.0,Public,4-year or above
Arkansas State University-Mountain Home,-92.388581,36.320466,Arkansas,1345.0,605.0,740.0,Public,2-year
Arkansas State University-Newport,-91.188846,35.63872199999999,Arkansas,2270.0,1039.0,1231.0,Public,2-year
Arkansas Tech University,-93.13562,35.293237,Arkansas,12101.0,6583.0,5518.0,Public,4-year or above
Arlington Baptist University,-97.156024,32.739489,Texas,170.0,147.0,23.0,Private not-for-profit,4-year or above
Art Academy of Cincinnati,-84.513913,39.108805,Ohio,201.0,191.0,10.0,Private not-for-profit,4-year or above
Art Center College of Design,-118.185102,34.169031,California,2249.0,1952.0,297.0,Private not-for-profit,4-year or above
ASA College,-73.986027,40.692405,New York,4356.0,3828.0,528.0,Private for-profit,2-year
Asbury University,-84.66260600000003,37.862029,Kentucky,1940.0,1316.0,624.0,Private not-for-profit,4-year or above
Asher College,-121.415767,38.587784,California,596.0,38.0,558.0,Private for-profit,2-year
Asheville-Buncombe Technical Community College,-82.554826,35.570439,North Carolina,6892.0,2242.0,4650.0,Public,2-year
Ashford University,-117.141961,32.8273,California,34710.0,34706.0,4.0,Private for-profit,4-year or above
Ashland Community and Technical College,-82.650664,38.469201,Kentucky,2542.0,1261.0,1281.0,Public,2-year
Ashland University,-82.321061,40.861755,Ohio,6627.0,4524.0,2103.0,Private not-for-profit,4-year or above
Asnuntuck Community College,-72.570177,41.998409,Connecticut,1858.0,621.0,1237.0,Public,2-year
Aspen University,-104.939111,39.68614,Colorado,5424.0,1421.0,4003.0,Private for-profit,4-year or above
Associated Beth Rivkah Schools,-73.949993,40.665998,New York,195.0,195.0,0.0,Private not-for-profit,4-year or above
Assumption College,-71.828991,42.294226,Massachusetts,2428.0,2110.0,318.0,Private not-for-profit,4-year or above
ATA Career Education,-82.595376,28.452699,Florida,265.0,265.0,0.0,Private for-profit,2-year
ATA College,-85.563365,38.223667,Kentucky,352.0,352.0,0.0,Private for-profit,2-year
Athena Career Academy,-83.665339,41.61463300000001,Ohio,283.0,283.0,0.0,Private for-profit,2-year
Athens State University,-86.964698,34.806793,Alabama,3044.0,1229.0,1815.0,Public,4-year or above
Athens Technical College,-83.339598,33.990183,Georgia,4567.0,1130.0,3437.0,Public,2-year
Atlanta Institute of Music and Media,-84.105311,33.961164000000004,Georgia,182.0,94.0,88.0,Private for-profit,2-year
Atlanta Metropolitan State College,-84.404659,33.70893,Georgia,2187.0,906.0,1281.0,Public,4-year or above
Atlanta Technical College,-84.404995,33.712009,Georgia,3562.0,1303.0,2259.0,Public,2-year
Atlantic Cape Community College,-74.680019,39.462081,New Jersey,4973.0,2207.0,2766.0,Public,2-year
Atlantic Institute of Oriental Medicine,-80.142235,26.121964,Florida,134.0,134.0,0.0,Private not-for-profit,4-year or above
Atlantis University,-80.18942,25.788978,Florida,341.0,303.0,38.0,Private for-profit,4-year or above
Auburn University,-85.488258,32.599378,Alabama,30440.0,25806.0,4634.0,Public,4-year or above
Auburn University at Montgomery,-86.177544,32.36736,Alabama,5211.0,3775.0,1436.0,Public,4-year or above
Augsburg University,-93.240436,44.966307,Minnesota,3419.0,2748.0,671.0,Private not-for-profit,4-year or above
Augusta Technical College,-82.048439,33.418992,Georgia,4409.0,1847.0,2562.0,Public,2-year
Augusta University,-81.989071,33.47037,Georgia,8458.0,6840.0,1618.0,Public,4-year or above
Augustana College,-90.55057,41.50236500000001,Illinois,2543.0,2534.0,9.0,Private not-for-profit,4-year or above
Augustana University,-96.736975,43.525148,South Dakota,2133.0,1754.0,379.0,Private not-for-profit,4-year or above
Auguste Escoffier School of Culinary Arts-Austin,-97.717865,30.326455,Texas,506.0,506.0,0.0,Private for-profit,2-year
Auguste Escoffier School of Culinary Arts-Boulder,-105.250075,39.983475,Colorado,2289.0,2289.0,0.0,Private for-profit,2-year
Aultman College of Nursing and Health Sciences,-81.404053,40.796186,Ohio,343.0,106.0,237.0,Private not-for-profit,4-year or above
Aurora University,-88.349023,41.753631,Illinois,6005.0,4367.0,1638.0,Private not-for-profit,4-year or above
Austin College,-96.596331,33.646345000000004,Texas,1299.0,1295.0,4.0,Private not-for-profit,4-year or above
Austin Community College District,-97.712505,30.322744,Texas,40799.0,8983.0,31816.0,Public,4-year or above
Austin Graduate School of Theology,-97.711751,30.343842,Texas,37.0,7.0,30.0,Private not-for-profit,4-year or above
Austin Peay State University,-87.35408100000002,36.533319,Tennessee,10954.0,7325.0,3629.0,Public,4-year or above
Ave Maria University,-81.43894499999998,26.335983,Florida,1122.0,1110.0,12.0,Private not-for-profit,4-year or above
Averett University,-79.413203,36.577287,Virginia,961.0,930.0,31.0,Private not-for-profit,4-year or above
Averett University-Non-Traditional Programs,-79.413203,36.577287,Virginia,612.0,248.0,364.0,Private not-for-profit,4-year or above
Aviation Institute of Maintenance-Atlanta,-84.147864,33.948914,Georgia,768.0,594.0,174.0,Private for-profit,2-year
Aviator College of Aeronautical Science and Technology,-80.367303,27.48718,Florida,317.0,317.0,0.0,Private for-profit,2-year
Avila University,-94.591758,38.91339,Missouri,1649.0,1341.0,308.0,Private not-for-profit,4-year or above
Azusa Pacific University,-117.888375,34.130047,California,10095.0,7194.0,2901.0,Private not-for-profit,4-year or above
Babson College,-71.264057,42.297017,Massachusetts,3357.0,2905.0,452.0,Private not-for-profit,4-year or above
Bacone College,-95.334046,35.777082,Oklahoma,271.0,243.0,28.0,Private not-for-profit,4-year or above
Bais Binyomin Academy,-74.081172,41.123098,New York,34.0,34.0,0.0,Private not-for-profit,4-year or above
Bais HaMedrash and Mesivta of Baltimore,-76.674414,39.379528,Maryland,80.0,80.0,0.0,Private not-for-profit,4-year or above
Bais Medrash Elyon,-74.06979799999998,41.114079,New York,69.0,69.0,0.0,Private not-for-profit,4-year or above
Bais Medrash Mayan Hatorah,-74.204332,40.107414,New Jersey,69.0,67.0,2.0,Private not-for-profit,4-year or above
Bais Medrash Toras Chesed,-74.21127,40.099704,New Jersey,106.0,103.0,3.0,Private not-for-profit,4-year or above
Baker College,-83.69467900000002,42.974764,Michigan,9332.0,3852.0,5480.0,Private not-for-profit,4-year or above
Baker University,-95.188231,38.777278,Kansas,2769.0,1119.0,1650.0,Private not-for-profit,4-year or above
Bakersfield College,-118.973753,35.40911,California,24589.0,7351.0,17238.0,Public,4-year or above
Baldwin Wallace University,-81.85114499999997,41.373017,Ohio,3709.0,3263.0,446.0,Private not-for-profit,4-year or above
Ball State University,-85.40904300000003,40.203431,Indiana,21884.0,15926.0,5958.0,Public,4-year or above
Baltimore City Community College,-76.662878,39.319978000000006,Maryland,4523.0,1547.0,2976.0,Public,2-year
Baptist Bible College,-93.284286,37.239696,Missouri,256.0,218.0,38.0,Private not-for-profit,4-year or above
Baptist Health College Little Rock,-92.40692,34.713115,Arkansas,648.0,588.0,60.0,Private not-for-profit,2-year
Baptist Health System School of Health Professions,-98.567486,29.517063,Texas,649.0,606.0,43.0,Private for-profit,4-year or above
Baptist Memorial College of Health Sciences,-90.027501,35.138415,Tennessee,1064.0,494.0,570.0,Private not-for-profit,4-year or above
Baptist Missionary Association Theological Seminary,-95.255524,31.978961,Texas,141.0,34.0,107.0,Private not-for-profit,4-year or above
Baptist University of the Americas,-98.546081,29.34998,Texas,154.0,113.0,41.0,Private not-for-profit,4-year or above
Barclay College,-99.105351,37.62012,Kansas,243.0,197.0,46.0,Private not-for-profit,4-year or above
Bard College,-73.909927,42.020386,New York,2207.0,2121.0,86.0,Private not-for-profit,4-year or above
Bard College at Simon's Rock,-73.379201,42.208803,Massachusetts,396.0,385.0,11.0,Private not-for-profit,4-year or above
Barnard College,-73.963346,40.810098,New York,2562.0,2519.0,43.0,Private not-for-profit,4-year or above
Barnes-Jewish College Goldfarb School of Nursing,-90.258772,38.637165,Missouri,634.0,629.0,5.0,Private not-for-profit,4-year or above
Barry University,-80.198925,25.878908,Florida,7186.0,5126.0,2060.0,Private not-for-profit,4-year or above
Barstow Community College,-117.023412,34.870285,California,3052.0,1186.0,1866.0,Public,2-year
Barton College,-77.91386700000002,35.734376,North Carolina,1059.0,973.0,86.0,Private not-for-profit,4-year or above
Barton County Community College,-98.731648,38.403529,Kansas,4237.0,890.0,3347.0,Public,2-year
Bastyr University,-122.251708,47.729935,Washington,1098.0,919.0,179.0,Private not-for-profit,4-year or above
Bates College,-70.203333,44.105299,Maine,1832.0,1832.0,0.0,Private not-for-profit,4-year or above
Bates Technical College,-122.44683,47.251743,Washington,4445.0,2033.0,2412.0,Public,2-year
Baton Rouge Community College,-91.137935,30.448276,Louisiana,8242.0,4020.0,4222.0,Public,2-year
Baton Rouge School of Computers,-91.080837,30.422155,Louisiana,58.0,36.0,22.0,Private for-profit,2-year
Bay de Noc Community College,-87.085228,45.772586,Michigan,1935.0,718.0,1217.0,Public,2-year
Bay Mills Community College,-84.607089,46.454584,Michigan,477.0,192.0,285.0,Public,4-year or above
Bay Path University,-72.583382,42.055088,Massachusetts,3444.0,1955.0,1489.0,Private not-for-profit,4-year or above
Bay State College,-71.076991,42.35176,Massachusetts,700.0,369.0,331.0,Private for-profit,4-year or above
Baylor University,-97.121041,31.546872,Texas,17217.0,16451.0,766.0,Private not-for-profit,4-year or above
Be'er Yaakov Talmudic Seminary,-74.028425,41.13905,New York,569.0,569.0,0.0,Private not-for-profit,4-year or above
Beacon College,-81.87415,28.811281,Florida,400.0,385.0,15.0,Private not-for-profit,4-year or above
Beal College,-68.785428,44.786465,Maine,207.0,169.0,38.0,Private for-profit,2-year
Beaufort County Community College,-76.96535,35.533587,North Carolina,1543.0,461.0,1082.0,Public,2-year
Becker College,-71.811894,42.269171,Massachusetts,1839.0,1478.0,361.0,Private not-for-profit,4-year or above
Beckfield College-Florence,-84.641475,39.017166,Kentucky,687.0,303.0,384.0,Private for-profit,4-year or above
Beis Medrash Heichal Dovid,-73.751633,40.596845,New York,125.0,125.0,0.0,Private not-for-profit,4-year or above
